Date,Close/Last,Volume,Open,High,Low,Close,SMA_5,SMA_10,SMA_20,EMA_5,EMA_10,EMA_20,RSI,Daily_Return,MACD,MACD_Signal,MACD_Histogram,Bollinger_Middle,Bollinger_Std,Bollinger_Upper,Bollinger_Lower,ATR,OBV,Sentiment
2024-06-06,$194.48,41181750,195.685,196.5,194.17,194.48,194.196,191.941,,194.048,192.972,192.086,77.825,-0.71,0.853,0.308,0.545,,,,,,333963230.0,0.126
2024-06-07,$196.89,53103910,194.65,196.94,194.14,196.89,195.124,192.942,,194.996,193.684,192.543,80.529,1.239,1.124,0.471,0.653,,,,,2.803,387067140.0,0.21
2024-06-10,$193.12,97262080,196.9,197.3,192.15,193.12,194.942,193.256,,194.37,193.582,192.598,66.806,-1.915,1.023,0.581,0.442,,,,,2.963,289805060.0,-0.19
2024-06-11,$207.15,172373300,193.65,207.16,193.63,207.15,197.502,194.972,,198.63,196.049,193.984,80.276,7.265,2.051,0.875,1.176,,,,,3.837,462178360.0,0.1
2024-06-12,$213.07,198134300,207.37,220.2,206.9,213.07,200.942,197.25,,203.443,199.143,195.802,83.347,2.858,3.305,1.361,1.944,,,,,4.604,660312660.0,0.0
2024-06-13,$214.24,97862730,214.74,216.75,211.6,214.24,204.894,199.545,,207.042,201.888,197.558,83.881,0.549,4.343,1.958,2.385,,,,,4.66,758175390.0,0.124
2024-06-14,$212.49,70122750,213.85,215.17,211.3,212.49,208.014,201.569,,208.858,203.816,198.98,79.76,-0.817,4.968,2.56,2.408,,,,,4.672,688052640.0,0.11
2024-06-17,$216.67,93728300,213.37,218.95,212.72,216.67,212.724,203.833,197.366,211.462,206.153,200.665,82.031,1.967,5.734,3.195,2.539,197.366,9.505,216.376,178.356,4.855,781780940.0,0.093
2024-06-18,$214.29,79943250,217.59,218.63,213.0,214.29,214.152,205.827,198.529,212.405,207.632,201.962,76.751,-1.098,6.079,3.771,2.308,198.529,10.094,218.717,178.341,5.061,701837690.0,-0.058
2024-06-20,$209.68,86172450,213.93,214.24,208.85,209.68,213.474,207.208,199.396,211.497,208.005,202.697,67.666,-2.151,5.912,4.2,1.712,199.396,10.278,219.952,178.84,5.315,615665240.0,0.722
2024-06-21,$207.49,246421400,210.39,211.89,207.11,207.49,212.124,208.509,200.225,210.161,207.911,203.154,63.802,-1.044,5.54,4.468,1.072,200.225,10.225,220.675,179.775,5.466,369243840.0,0.855
2024-06-24,$208.14,80727010,207.72,212.7,206.59,208.14,211.254,209.634,201.288,209.487,207.953,203.629,64.451,0.313,5.236,4.621,0.615,201.288,9.864,221.016,181.56,5.707,449970850.0,0.279
2024-06-25,$209.07,56713870,209.15,211.38,208.61,209.07,209.734,211.229,202.242,209.348,208.156,204.147,65.406,0.447,5.013,4.7,0.313,202.242,9.633,221.508,182.976,5.775,506684720.0,0.189
2024-06-26,$213.25,66213190,211.5,214.86,210.64,213.25,209.526,211.839,203.406,210.649,209.082,205.014,69.389,1.999,5.115,4.783,0.332,203.406,9.479,222.364,184.448,6.006,572897910.0,0.168
2024-06-27,$214.10,49772710,214.69,215.74,212.35,214.1,210.41,211.942,204.596,211.799,209.994,205.879,70.141,0.399,5.204,4.867,0.337,204.596,9.237,223.07,186.122,6.082,622670620.0,-0.065
2024-06-28,$210.62,82542720,215.77,216.07,210.3,210.62,211.036,211.58,205.562,211.406,210.108,206.331,63.281,-1.625,4.937,4.881,0.056,205.562,8.771,223.104,188.02,6.294,540127900.0,0.254
2024-07-01,$216.75,60402930,212.09,217.51,211.92,216.75,212.758,212.006,206.788,213.187,211.316,207.323,69.028,2.91,5.16,4.937,0.223,206.788,8.521,223.83,189.746,6.419,600530830.0,-0.069
2024-07-02,$220.27,58046180,216.15,220.38,215.1,220.27,214.998,212.366,208.099,215.548,212.944,208.556,71.761,1.624,5.557,5.061,0.496,208.099,8.473,225.045,191.153,5.793,658577010.0,0.178
2024-07-03,$221.55,37369800,220.0,221.55,219.03,221.55,216.658,213.092,209.46,217.549,214.509,209.794,72.704,0.581,5.907,5.23,0.677,209.46,8.332,226.124,192.796,5.023,695946810.0,0.214
2024-07-05,$226.34,60412410,221.65,226.45,221.65,226.34,219.106,214.758,210.983,220.479,216.66,211.369,75.942,2.162,6.496,5.483,1.013,210.983,8.5,227.983,193.983,5.005,756359220.0,-0.297
2024-07-08,$227.82,59085860,227.09,227.85,223.25,227.82,222.546,216.791,212.65,222.926,218.689,212.936,76.856,0.654,7.001,5.787,1.214,212.65,8.362,229.374,195.926,5.057,815445080.0,-0.144
2024-07-09,$228.68,48169820,227.93,229.4,226.372,228.68,224.932,218.845,214.24,224.844,220.505,214.436,77.393,0.377,7.386,6.107,1.279,214.24,8.229,230.698,197.782,4.812,863614900.0,-0.119
2024-07-10,$232.98,62627690,229.3,233.08,229.25,232.98,227.474,221.236,216.232,227.556,222.774,216.202,79.905,1.88,7.947,6.475,1.472,216.232,7.651,231.534,200.93,4.724,926242590.0,0.054
2024-07-11,$227.57,64710620,231.39,232.39,225.77,227.57,228.678,222.668,217.254,227.561,223.646,217.284,69.45,-2.322,7.863,6.752,1.111,217.254,7.737,232.728,201.78,4.851,861531970.0,-0.026
2024-07-12,$230.54,53046530,228.92,232.64,228.68,230.54,229.518,224.312,218.127,228.554,224.899,218.547,71.643,1.305,7.946,6.991,0.955,218.127,8.212,234.551,201.703,4.871,914578500.0,0.035
2024-07-15,$234.40,62631250,236.48,237.23,233.09,234.4,230.834,226.69,219.135,230.503,226.627,220.057,74.233,1.674,8.227,7.238,0.989,219.135,8.917,236.969,201.301,4.913,977209750.0,0.121
2024-07-16,$234.82,43234280,235.0,236.27,232.33,234.82,232.062,228.497,220.252,231.942,228.116,221.463,74.506,0.179,8.388,7.468,0.92,220.252,9.424,239.1,201.404,4.963,1020444030.0,0.24
2024-07-17,$228.88,57345880,229.45,231.46,226.64,228.88,231.242,229.358,220.862,230.921,228.255,222.169,64.16,-2.53,7.944,7.563,0.381,220.862,9.574,240.01,201.714,5.133,963098150.0,-0.597
2024-07-18,$224.18,66034590,230.28,230.44,222.27,224.18,230.564,229.621,221.356,228.674,227.514,222.361,57.371,-2.053,7.131,7.477,-0.346,221.356,9.472,240.3,202.412,5.475,897063560.0,0.838
2024-07-19,$224.31,49151450,224.82,226.8,223.275,224.31,229.318,229.418,222.088,227.219,226.932,222.546,57.505,0.058,6.423,7.266,-0.843,222.088,9.079,240.246,203.93,5.314,946215010.0,-0.042
2024-07-22,$223.96,48201840,227.01,227.78,223.09,223.96,227.23,229.032,222.912,226.133,226.391,222.681,56.986,-0.156,5.767,6.966,-1.199,222.912,8.408,239.728,206.096,5.157,898013170.0,-0.122
2024-07-23,$225.01,39960260,224.365,226.94,222.68,225.01,225.268,228.665,223.755,225.759,226.14,222.903,58.205,0.469,5.272,6.627,-1.355,223.755,7.661,239.077,208.433,5.084,937973430.0,0.071
2024-07-24,$218.54,61777580,224.0,224.8,217.13,218.54,223.2,227.221,224.228,223.352,224.758,222.487,48.992,-2.875,4.307,6.163,-1.856,224.228,6.967,238.162,210.294,5.467,876195850.0,-0.162
2024-07-25,$217.49,51391200,218.93,220.85,214.62,217.49,221.862,226.213,224.44,221.398,223.437,222.011,47.673,-0.48,3.419,5.614,-2.195,224.44,6.673,237.786,211.094,5.562,824804650.0,0.182
2024-07-26,$217.96,41601350,218.7,219.49,216.01,217.96,220.592,224.955,224.633,220.252,222.441,221.625,48.343,0.216,2.721,5.036,-2.315,224.633,6.409,237.451,211.815,5.482,866406000.0,-0.159
2024-07-29,$218.24,36311780,216.96,219.3,215.75,218.24,219.448,223.339,225.014,219.581,221.677,221.303,48.764,0.128,2.166,4.462,-2.296,225.014,5.722,236.458,213.57,5.52,902717780.0,-0.015
2024-07-30,$218.80,41643840,219.19,220.325,216.12,218.8,218.206,221.737,225.117,219.321,221.154,221.065,49.648,0.257,1.751,3.92,-2.169,225.117,5.583,236.283,213.951,5.506,944361620.0,0.005
2024-07-31,$222.08,50036260,221.44,223.82,220.63,222.08,218.914,221.057,225.208,220.241,221.322,221.161,54.591,1.499,1.667,3.469,-1.802,225.208,5.514,236.236,214.18,5.349,994397880.0,-0.295
2024-08-01,$218.36,62501000,224.37,224.48,217.02,218.36,219.088,220.475,225.048,219.614,220.784,220.895,48.747,-1.675,1.286,3.033,-1.747,225.048,5.67,236.388,213.708,5.52,931896880.0,0.255
2024-08-02,$219.86,105568600,219.15,225.6,217.71,219.86,219.468,220.03,224.724,219.696,220.616,220.796,51.023,0.687,1.092,2.644,-1.552,224.724,5.776,236.276,213.172,5.606,1037465480.0,0.03
2024-08-05,$209.27,119548600,199.09,213.5,196.0,209.27,217.674,218.561,223.796,216.221,218.553,219.698,38.142,-4.817,0.083,2.132,-2.049,223.796,6.673,237.142,210.45,7.029,917916880.0,-0.002
2024-08-06,$207.23,69660490,205.3,209.99,201.07,207.23,215.36,216.783,222.724,213.224,216.494,218.511,36.243,-0.975,-0.871,1.531,-2.402,222.724,7.517,237.758,207.69,7.081,848256390.0,-0.059
